option_code,cost_context,cost_basis,tree_size_category,planting_method,stock_size,tree_type,botanical_name,species_price_match_basis,size_price_status,minimum_cost,maximum_cost,material_min_cost,material_max_cost,installation_min_cost,installation_max_cost,delivery_min_cost,delivery_max_cost,setup_min_cost,setup_max_cost,currency,gst_included,includes_installation,annual_maintenance_cost,source_name,source_reference,source_url,valid_from,valid_to,last_verified_at,confidence_level
backyard_tree_diy,supplier_advertised_species_stock,per_tree,,diy,14cm,"Acacia Acinacea, Gold Dust Wattle",Acacia acinacea,species_or_cultivar_listing,exact_variant_size_price,19.95,19.95,19.95,19.95,,,,,,,AUD,,false,,Online Plants,"Acacia acinacea | Acacia Acinacea, Gold Dust Wattle | stock size: 14cm | advertised AUD 19.95-19.95 | exact_variant_size_price | species_or_cultivar_listing. Supply only; confirm current stock, GST and delivery with supplier.",https://www.onlineplants.com.au/products/acacia-acinacea-gold-dust-wattle,2026-09-17,2026-10-17,2026-09-17T12:00:00+10:00,medium
backyard_tree_diy,supplier_advertised_species_stock,per_tree,,diy,20cm,"Acacia Acinacea, Gold Dust Wattle",Acacia acinacea,species_or_cultivar_listing,exact_variant_size_price,39.95,39.95,39.95,39.95,,,,,,,AUD,,false,,Online Plants,"Acacia acinacea | Acacia Acinacea, Gold Dust Wattle | stock size: 20cm | advertised AUD 39.95-39.95 | exact_variant_size_price | species_or_cultivar_listing. Supply only; confirm current stock, GST and delivery with supplier.",https://www.onlineplants.com.au/products/acacia-acinacea-gold-dust-wattle,2026-09-17,2026-10-17,2026-09-17T12:00:00+10:00,medium
backyard_tree_diy,supplier_advertised_species_stock,per_tree,,diy,25cm,"Acacia Acinacea, Gold Dust Wattle",Acacia acinacea,species_or_cultivar_listing,exact_variant_size_price,74.95,74.95,74.95,74.95,,,,,,,AUD,,false,,Online Plants,"Acacia acinacea | Acacia Acinacea, Gold Dust Wattle | stock size: 25cm | advertised AUD 74.95-74.95 | exact_variant_size_price | species_or_cultivar_listing. Supply only; confirm current stock, GST and delivery with supplier.",https://www.onlineplants.com.au/products/acacia-acinacea-gold-dust-wattle,2026-09-17,2026-10-17,2026-09-17T12:00:00+10:00,medium
backyard_tree_diy,supplier_advertised_species_stock,per_tree,,diy,25cm,"Acacia Boormanii, Snowy River Wattle",Acacia boormanii,species_or_cultivar_listing,exact_variant_size_price,74.95,74.95,74.95,74.95,,,,,,,AUD,,false,,Online Plants,"Acacia boormanii | Acacia Boormanii, Snowy River Wattle | stock size: 25cm | advertised AUD 74.95-74.95 | exact_variant_size_price | species_or_cultivar_listing. Supply only; confirm current stock, GST and delivery with supplier.",https://www.onlineplants.com.au/products/acacia-boormanii-snowy-river-wattle,2026-09-17,2026-10-17,2026-09-17T12:00:00+10:00,medium
backyard_tree_diy,supplier_advertised_species_stock,per_tree,,diy,20 cm,Acacia Copper Tips,Acacia cognata,species_or_cultivar_listing,exact_variant_size_price,35.00,35.00,35.00,35.00,,,,,,,AUD,,false,,Diacos Garden Nursery,"Acacia cognata | Acacia Copper Tips | stock size: 20 cm | advertised AUD 35.00-35.00 | exact_variant_size_price | species_or_cultivar_listing. Supply only; confirm current stock, GST and delivery with supplier.",https://diacos.com.au/product/acacia-copper-tips/,2026-09-17,2026-10-17,2026-09-17T12:00:00+10:00,medium
backyard_tree_diy,supplier_advertised_species_stock,per_tree,,diy,33 cm,Acacia Copper Tips,Acacia cognata,species_or_cultivar_listing,exact_variant_size_price,149.00,149.00,149.00,149.00,,,,,,,AUD,,false,,Diacos Garden Nursery,"Acacia cognata | Acacia Copper Tips | stock size: 33 cm | advertised AUD 149.00-149.00 | exact_variant_size_price | species_or_cultivar_listing. Supply only; confirm current stock, GST and delivery with supplier.",https://diacos.com.au/product/acacia-copper-tips/,2026-09-17,2026-10-17,2026-09-17T12:00:00+10:00,medium
backyard_tree_diy,supplier_advertised_species_stock,per_tree,,diy,14 cm,Acacia Lime Magik,Acacia cognata,species_or_cultivar_listing,exact_variant_size_price,24.95,24.95,24.95,24.95,,,,,,,AUD,,false,,Diacos Garden Nursery,"Acacia cognata | Acacia Lime Magik | stock size: 14 cm | advertised AUD 24.95-24.95 | exact_variant_size_price | species_or_cultivar_listing. Supply only; confirm current stock, GST and delivery with supplier.",https://diacos.com.au/product/acacia-lime-magik/,2026-09-17,2026-10-17,2026-09-17T12:00:00+10:00,medium
backyard_tree_diy,supplier_advertised_species_stock,per_tree,,diy,18 cm,Acacia Lime Magik,Acacia cognata,species_or_cultivar_listing,exact_variant_size_price,35.95,35.95,35.95,35.95,,,,,,,AUD,,false,,Diacos Garden Nursery,"Acacia cognata | Acacia Lime Magik | stock size: 18 cm | advertised AUD 35.95-35.95 | exact_variant_size_price | species_or_cultivar_listing. Supply only; confirm current stock, GST and delivery with supplier.",https://diacos.com.au/product/acacia-lime-magik/,2026-09-17,2026-10-17,2026-09-17T12:00:00+10:00,medium
backyard_tree_diy,supplier_advertised_species_stock,per_tree,,diy,40 cm,Acacia Lime Magik,Acacia cognata,species_or_cultivar_listing,exact_variant_size_price,219.00,219.00,219.00,219.00,,,,,,,AUD,,false,,Diacos Garden Nursery,"Acacia cognata | Acacia Lime Magik | stock size: 40 cm | advertised AUD 219.00-219.00 | exact_variant_size_price | species_or_cultivar_listing. Supply only; confirm current stock, GST and delivery with supplier.",https://diacos.com.au/product/acacia-lime-magik/,2026-09-17,2026-10-17,2026-09-17T12:00:00+10:00,medium
backyard_tree_diy,supplier_advertised_species_stock,per_tree,,diy,14 cm,Acacia Limelight,Acacia cognata,species_or_cultivar_listing,exact_variant_size_price,17.95,17.95,17.95,17.95,,,,,,,AUD,,false,,Diacos Garden Nursery,"Acacia cognata | Acacia Limelight | stock size: 14 cm | advertised AUD 17.95-17.95 | exact_variant_size_price | species_or_cultivar_listing. Supply only; confirm current stock, GST and delivery with supplier.",https://diacos.com.au/product/acacia-limelight/,2026-09-17,2026-10-17,2026-09-17T12:00:00+10:00,medium
backyard_tree_diy,supplier_advertised_species_stock,per_tree,,diy,20 cm,Acacia Limelight,Acacia cognata,species_or_cultivar_listing,exact_variant_size_price,35.00,35.00,35.00,35.00,,,,,,,AUD,,false,,Diacos Garden Nursery,"Acacia cognata | Acacia Limelight | stock size: 20 cm | advertised AUD 35.00-35.00 | exact_variant_size_price | species_or_cultivar_listing. Supply only; confirm current stock, GST and delivery with supplier.",https://diacos.com.au/product/acacia-limelight/,2026-09-17,2026-10-17,2026-09-17T12:00:00+10:00,medium
